연번,작전명2,죄명(한글),죄명(한글)2,죄명(한글)3,죄명(한글)4,죄명(한글)5,죄명(한글)6,죄명(한글)7,죄명(한글)8,죄명(한글)9,죄명(한글)10,죄명(한글)11,죄명(한글)12,비고
9,JPMorgan,해킹,금융사기,증권사기,불법자금세탁,비트코인거래,불법온라인카지노운영,,,,,,,6
15,crackdown operation,트로이목마유포,개인정보탈취,웹캠해킹,,,,,,,,,,3
22,international operation,봇넷운영,악성코드유포,개인정보탈취,DDoS공격,,,,,,,,,4
23,(가칭)Operation Phishing Syndicate,금융사기,이메일계정해킹,악성코드유포,불법자금세탁,,,,,,,,,4
25,Strike Week,불법데이터유출,컴퓨터사기,악성코드제작,DDoS공격,피싱,지적재산도용,악성코드유포,,,,,,7
30,Operation Source,봇넷운영,악성코드유포,금융기관해킹,랜섬웨어,루트킷,가짜백신,,,,,,,6
31,Operation Shrouded Horizon,악성코드유포,봇넷운영,개인정보탈취,신용카드도용,해킹,,,,,,,,5
33,Simda 봇넷,봇넷운영,악성코드유포,개인정보탈취,금융기관해킹,,,,,,,,,4
35,Joint Investigation Team operation,악성코드유포,금융기관해킹,불법자금세탁,범죄수익은닉,,,,,,,,,4
41,Operation Pleiades,DDoS공격,비트코인갈취,협박,컴퓨터사기,,,,,,,,,4
42,DDoS-for-hire,DDoS공격,,,,,,,,,,,,1
43,Operation Avalanche,스팸유포,피싱,악성코드유포,랜섬웨어,불법자금세탁,금융기관해킹,,,,,,,6
46,(가칭)Operation Russian Ransom,랜섬웨어,컴퓨터사기,불법자금세탁,,,,,,,,,,3
47,Operation Hyperion,다크웹불법물품거래,불법자금세탁,마약밀매,,,,,,,,,,3
48,Operation Ciconia Alba,인신매매,노동착취,마약밀매,범죄조직운영,,,,,,,,,4
49,Global Airport Action Day,항공권사기,불법이민,인신매매,마약밀매,범죄조직운영,,,,,,,,5
61,(가칭)Operation Mike,이메일계정해킹,컴퓨터사기,불법자금세탁,비즈니스이메일사기,CEO사기,,,,,,,,5
73,(가칭)Operation Teenage Breach,컴퓨터오용,해킹,불법컴퓨터접근,불법데이터유출,,,,,,,,,4
84,(가칭)Operation PeerWatch,아동성착취물유통,아동성착취,불법데이터유출,,,,,,,,,,3
85,Operation Bayonet,마약밀매,다크웹불법물품거래,악성코드유포,해킹도구판매,불법데이터유출,,,,,,,,5
87,(가칭)Operation CardHack London,해킹,불법데이터유출,신용카드사기,불법금융정보거래,,,,,,,,,4
88,(가칭)Operation ASEAN Sweep,해킹,악성코드유포,랜섬웨어,DDoS공격,스팸유포,불법데이터유출,컴퓨터사기,피싱,,,,,8
89,(가칭)Operation WannaCry,랜섬웨어,,,,,,,,,,,,1
94,(가칭)Operation Fiji Fraud,컴퓨터사기,불법온라인도박,,,,,,,,,,,2
97,(가칭)Operation MoneyTaker,금융기관해킹,금융사기,정보유출,자금탈취,,,,,,,,,4
99,Andromeda Botnet Dismantling,악성코드유포,봇넷운영,범죄적인프라활용,,,,,,,,,,3
100,(가칭)Operation QatarLeak,해킹,허위정보유포,국가이미지훼손,,,,,,,,,,3
103,Bakovia,해킹,컴퓨터시스템방해,협박,,,,,,,,,,3
111,(가칭)Operation Manila Gamble,불법온라인도박,,,,,,,,,,,,1
112,(가칭)Operation EagleNet,금융사기,부패,,,,,,,,,,,2
121,(가칭)Operation CardStorm,신용카드정보유출,불법자금세탁,컴퓨터사기,범죄조직운영,,,,,,,,,4
122,(가칭)Operation Carbanak,금융기관해킹,악성코드유포,사기,불법자금세탁,범죄조직운영,,,,,,,,5
124,Operation Power Off,DDoS공격,,,,,,,,,,,,1
127,Operation WireWire,비즈니스이메일사기,이메일계정침해,컴퓨터사기,금융사기,불법자금세탁,,,,,,,,5
129,FIN7,해킹,신용카드도용,컴퓨터사기,범죄조직운영,,,,,,,,,4
134,(가칭)Operation Infraud,신용카드정보유출,불법하드웨어유통,악성코드유포,컴퓨터사기,범죄조직운영,,,,,,,,5
135,(가칭)Operation RexMundi,사이버협박,불법데이터유출,불법침입,신용카드정보유출,범죄조직운영,,,,,,,,5
139,Charlie Foxter,금융사기,불법온라인도박,비자규정위반,,,,,,,,,,3
146,EndOCSEA Europe,아동성착취,아동성착취물유통,아동성착취물제작유포,,,,,,,,,,3
147,(가칭)Operation ATM Havoc,악성코드유포,금융기관해킹,ATM해킹,신용카드정보유출,금융사기,불법자금세탁,,,,,,,6
150,(가칭)Operation GozNym,악성코드유포,피싱,온라인뱅킹자격증명도용,은행계좌불법접근,자금절도,불법자금세탁,,,,,,,6
153,(가칭)Operation Thallium Block,스피어피싱,악성코드유포,계정탈취,네트워크보안침해,민감정보탈취,,,,,,,,5
155,Interpol cybercrime operation across Africa,컴퓨터사기,금융사기,신용카드사기,피싱,해킹,온라인사기,개인정보탈취,,,,,,7
156,Trigger IV,테러리즘,범죄조직운영,마약밀매,무기밀매,불법이민,불법상품밀매,,,,,,,6
157,Operation Rewired,비즈니스이메일사기,온라인사기,신용카드사기,피싱,컴퓨터관련사기,신원도용,,,,,,,6
158,IM RAT 단속,악성코드유포,불법원격접근,해킹,불법데이터유출,키로깅,웹캠불법접근,개인정보탈취,사기,절도,보이어리즘,,,10
159,Mikhailov case,국가기밀유출,대외정보제공,해킹,협력,불법정보유포,,,,,,,,5
160,(가칭)Operation Manila 600,불법온라인도박,컴퓨터사기,투자사기,불법취업,불법체류,비자규정위반,불법자금세탁,,,,,,7
164,xDedic,해킹,불법서버접근권거래,개인정보탈취,컴퓨터사기,불법데이터유출,사기,,,,,,,6
165,VIDTF Operation,아동성학대,아동성착취물유통,,,,,,,,,,,2
175,Operation Goldfish Alpha,봇넷운영,피싱,비즈니스이메일사기,악성코드유포,랜섬웨어,크립토재킹,,,,,,,6
176,2BaGoldMule,불법자금세탁,불법자금세탁,신분도용,가짜회사설립,불법자금세탁,,,,,,,,5
