excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,matched_source_slug,matched_operation_slug,excel_agencies,wiki_agencies,excel_countries,wiki_countries,excel_crime_types,wiki_crime_types,review_status,review_note
1_데이터수집(URL),3,2023,(가칭)Operation Crypto Blender,operation-crypto-blender,https://cyberscoop.com/russians-crypto-mixers-doj-charges/,,imminent-monitor-rat-takedown,fbi-cyber-division;us-doj,australia-afp;eurojust;europol-ec3,finland;netherlands;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),5,2025,(가칭)Operation Asia ScamHub,operation-asia-scamhub,https://timesofindia.indiatimes.com/india/myanmar-style-cybercrime-operation-busted-near-andhra-sez-100-detained/articleshow/121324448.cms,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,australia;india;united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),6,2023,(가칭)Operation Africa CyberDesk,operation-africa-cyberdesk,https://www.interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),7,2022,(가칭)Operation FakeMall Takedown,operation-fakemall-takedown,https://www.europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,2024-12-04_europol-europa-eu_fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,fake-shopping-sites-takedown-2024,dutch-police;europol-ec3;germany-bka,czechia-police;europol-ec3;german-police;netherlands-politie;poland-police,austria;finland;germany;netherlands;norway,austria;czechia;finland;germany;netherlands;poland,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),8,2016,(가칭)Operation Mike,operation-mike,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/,,imminent-monitor-rat-takedown,interpol,australia-afp;eurojust;europol-ec3,china;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),9,2017,(가칭)Operation Teenage Breach,operation-teenage-breach,https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,,imminent-monitor-rat-takedown,europol-ec3,australia-afp;eurojust;europol-ec3,united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),11,2017,(가칭)Operation CardHack London,operation-cardhack-london,https://www.bbc.com/news/uk-41240643,,imminent-monitor-rat-takedown,uk-nca,australia-afp;eurojust;europol-ec3,united-kingdom,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),14,2017,(가칭)Operation Fiji Fraud,operation-fiji-fraud,https://www.arabnews.com/node/1141451/world,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
1_데이터수집(URL),15,2018,(가칭)Operation MoneyTaker,operation-moneytaker,https://cyberscoop.com/money-taker-group-ib-banking-hack-russia/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,russia;united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),16,2017,(가칭)Operation QatarLeak,operation-qatarleak,https://www.aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe,,imminent-monitor-rat-takedown,fbi-cyber-division;uk-nca,australia-afp;eurojust;europol-ec3,united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
1_데이터수집(URL),17,2018,(가칭)Operation Manila Gamble,operation-manila-gamble,https://www.gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
