op_slug,crime_type_slug
2bagoldmule-qqaazz,malware-ic
911-s5-botnet-takedown,csam-ic
911-s5-botnet-takedown,malware-ic
alphabay-takedown,dark-web-ic
alphabay-takedown,malware-ic
andromeda-botnet-takedown,malware-ic
belgium-netherlands-phishing-gang,voice-phishing-ic
bidencash-takedown,dark-web-ic
blackcat-lockeroga-kelvin-security-2023,ransomware-ic
carbanak-cobalt-takedown,malware-ic
carding-action-2020,dark-web-ic
cryptex-pm2btc-sanctions,dark-web-ic
cryptex-pm2btc-sanctions,ransomware-ic
cyberbunker-takedown,csam-ic
darkmarket-takedown,dark-web-ic
darkmarket-takedown,malware-ic
darkode-takedown,malware-ic
de-ch-crypto-mixer-takedown-2025,dark-web-ic
de-ch-crypto-mixer-takedown-2025,ransomware-ic
doublevpn-takedown,ransomware-ic
dridex-operations,malware-ic
dridex-operations,ransomware-ic
emotet-takedown,malware-ic
emotet-takedown,ransomware-ic
fin7-takedown,dark-web-ic
fin7-takedown,malware-ic
global-airport-action-day,dark-web-ic
goznym-takedown,malware-ic
hive-ransomware-takedown,malware-ic
imminent-monitor-rat-takedown,malware-ic
infraud-organization-takedown,dark-web-ic
infraud-organization-takedown,malware-ic
korea-cambodia-scam-repatriation,voice-phishing-ic
korea-china-voice-phishing-qingdao,voice-phishing-ic
lumma-stealer-takedown,malware-ic
marketplace-a-dekhtyarchuk-indictment,malware-ic
mobdro-illegal-streaming-takedown-2021,illegal-iptv-ic
nemesis-market-takedown,dark-web-ic
operation-404-digital-piracy-2019,illegal-iptv-ic
operation-avalanche,malware-ic
operation-bakovia,malware-ic
operation-bakovia,ransomware-ic
operation-chakra-ii,voice-phishing-ic
operation-chakra-iii,malware-ic
operation-chakra-iii,voice-phishing-ic
operation-chakra-iv,voice-phishing-ic
operation-chakra-v,voice-phishing-ic
operation-checkmate-blacksuit,dark-web-ic
operation-checkmate-blacksuit,ransomware-ic
operation-cronos-phase1,malware-ic
operation-cronos-phase1,ransomware-ic
operation-cronos-phase3,ransomware-ic
operation-cyber-guardian,csam-ic
operation-dark-huntor,csam-ic
operation-delilah,malware-ic
operation-destabilise,ransomware-ic
operation-endgame,malware-ic
operation-endgame,ransomware-ic
operation-endgame-phase1,malware-ic
operation-endgame-phase1,ransomware-ic
operation-endgame-phase2,malware-ic
operation-endgame-phase2,ransomware-ic
operation-falcon,malware-ic
operation-first-light-2024,voice-phishing-ic
operation-goldfish-alpha-night-fury,malware-ic
operation-goldfish-alpha-night-fury,ransomware-ic
operation-haechi-iii,voice-phishing-ic
operation-haechi-iv,voice-phishing-ic
operation-haechi-v,voice-phishing-ic
operation-haechi-vi,voice-phishing-ic
operation-heart-blocker,dark-web-ic
operation-heart-blocker,malware-ic
operation-killer-bee,malware-ic
operation-lyrebird,malware-ic
operation-morpheus,malware-ic
operation-morpheus,ransomware-ic
operation-nervone,malware-ic
operation-nova,ransomware-ic
operation-onymous,dark-web-ic
operation-orion-international,csam-ic
operation-perfect-storm-pay-tv-piracy-2019,illegal-iptv-ic
operation-pleiades,ransomware-ic
operation-secure-interpol,malware-ic
operation-secure-interpol,ransomware-ic
operation-sentinel-africa,ransomware-ic
operation-serengeti,ransomware-ic
operation-shrouded-horizon,malware-ic
operation-source,malware-ic
operation-source,ransomware-ic
operation-stream-kidflix,csam-ic
operation-synergia-ii,ransomware-ic
operation-taken-down-illegal-iptv-2024,illegal-iptv-ic
operation-talent,malware-ic
operation-wirewire,malware-ic
phobos-8base-crackdown,ransomware-ic
qakbot-gallyamov-indictment,malware-ic
qakbot-gallyamov-indictment,ransomware-ic
qqaazz-money-laundering-takedown,malware-ic
qqaazz-money-laundering-takedown,ransomware-ic
ramnit-botnet-takedown,malware-ic
simda-botnet-takedown,malware-ic
spanish-pay-tv-streaming-network-takedown-2020,illegal-iptv-ic
trickbot-operations,malware-ic
trickbot-operations,ransomware-ic
vpnlab-takedown,dark-web-ic
vpnlab-takedown,malware-ic
vpnlab-takedown,ransomware-ic
xdedic-marketplace-takedown,dark-web-ic
xdedic-marketplace-takedown,malware-ic
xdedic-marketplace-takedown,ransomware-ic
zeus-spyeye-jit-takedown,malware-ic
