slug,degree,betweenness,closeness,eigenvector
europol-ec3,0.5662650602409639,0.40527445519618155,0.4496184672815108,0.30868684994029233
fbi-cyber-division,0.39759036144578314,0.1586006243369597,0.36939608515244454,0.23721701577330218
eurojust,0.3253012048192771,0.10071127799553874,0.36336512866015974,0.2037311748489523
netherlands-politie,0.21686746987951808,0.02337223130581936,0.3048782757593806,0.1608979304347896
germany-bka,0.20481927710843373,0.022524629616652667,0.3048782757593806,0.15472134667457263
uk-nca,0.20481927710843373,0.022403059409315973,0.30698088455772116,0.15986594019077296
us-doj,0.1927710843373494,0.05393107379965579,0.3038377355690755,0.10443042442862989
interpol,0.1686746987951807,0.1442640108874574,0.3168130125328795,0.019333294041774817
fbi,0.1566265060240964,0.051472276536883944,0.30698088455772116,0.04269161940774172
interpol-igci,0.12048192771084337,0.08635281172236113,0.27733475551943654,0.0031004013754479124
us-secret-service,0.0963855421686747,0.015138689573633115,0.31236651411136535,0.06850035361301897
canada-rcmp,0.08433734939759036,0.002489128314538732,0.2890404432523998,0.08581222301832293
usdoj,0.08433734939759036,0.011821148441290187,0.28351737745776795,0.020544453738538748
australia-afp,0.07228915662650602,0.001990623277717822,0.2862522717740808,0.062461421273236895
group-ib,0.07228915662650602,0.014204869726213402,0.2681459533787323,0.00325361937295419
japan-npa,0.07228915662650602,0.04241666998626408,0.27907353141611013,0.04010418458212565
kaspersky-lab,0.060240963855421686,0.020913302232965177,0.27733475551943654,0.007089301902301287
knpa-cyber-bureau,0.060240963855421686,0.016995790405069378,0.19827273167425197,0.0004110962565977231
trend-micro,0.060240963855421686,0.0076553673735812846,0.22710320541259982,0.0013071791740832466
ukraine-police,0.060240963855421686,0.001853745075726257,0.27733475551943654,0.055426552139186014
us-dhs,0.060240963855421686,0.012573226526887677,0.27907353141611013,0.012651045024205944
afripol,0.04819277108433735,0.01027471293895897,0.262609016288316,0.002753845349352239
cbi-india,0.04819277108433735,0.003588704327081735,0.24936822555109,0.004906027798756586
denmark-police,0.04819277108433735,0.00026333409095147096,0.2681459533787323,0.051248860809270554
france-gendarmerie,0.04819277108433735,0.0005950617606328536,0.27561751245120475,0.055568795278769935
france-national-police,0.04819277108433735,0.000441495405217357,0.26977108036890646,0.053661852949622335
germany-lka,0.04819277108433735,0.0009517087875985543,0.27733475551943654,0.044141167728665075
microsoft,0.04819277108433735,0.006189463498399114,0.27907353141611013,0.007877622873023477
shadowserver,0.04819277108433735,0.006920212977690753,0.2938100875304922,0.023712304871865108
switzerland-fedpol,0.04819277108433735,0.0006509630503739931,0.27561751245120475,0.0543603538438523
us-treasury,0.04819277108433735,0.0039732757203848066,0.2618366368286445,0.011185039393829508
dutch-nhtcu,0.03614457831325301,0.006320242742343771,0.2844231837755244,0.01131732816657084
germany-frankfurt-prosecutor,0.03614457831325301,0.0013657531304834304,0.2689560619992119,0.03398705031439127
j-cat,0.03614457831325301,0.0007225768491626822,0.2673407102754929,0.011433946121618773
ncfta,0.03614457831325301,0.001218579314397802,0.26977108036890646,0.01588905168117395
armenia-police,0.024096385542168676,2.7177741923897834e-05,0.2665402889872429,0.029357274673982883
belgium-federal-police,0.024096385542168676,0.0004922964396417515,0.2730811549746599,0.024190486307810753
bulgaria-police,0.024096385542168676,2.7177741923897834e-05,0.2665402889872429,0.029357274673982883
czechia-police,0.024096385542168676,0.00018018569780375263,0.2543555900621118,0.01485621530920531
france-junalco,0.024096385542168676,2.628162361590644e-05,0.2665402889872429,0.030565716108900524
german-bka,0.024096385542168676,0.00012721793358489204,0.2507731169626454,0.009475136284334367
interpol-asean-desk,0.024096385542168676,9.404450780074443e-05,0.19608911128136372,0.0003224394156615057
italy-polizia-postale,0.024096385542168676,0.00013462562446476774,0.23867146520573493,0.005785787295679646
knpa,0.024096385542168676,0.00946896213060836,0.20418453330674113,0.00018354358964567648
lithuania-police,0.024096385542168676,2.7177741923897834e-05,0.2665402889872429,0.029357274673982883
nigeria-police-force,0.024096385542168676,2.828406249646449e-05,0.19652197907668684,0.0003733683198525158
