slug,degree,betweenness,closeness,eigenvector
united-states,0.75,0.2595303670820719,0.4222786596119929,0.267902382328281
germany,0.5147058823529411,0.0781126207785852,0.38089723194400255,0.22479628299278723
united-kingdom,0.5147058823529411,0.08398288965279452,0.38089723194400255,0.22674341051982735
netherlands,0.4411764705882353,0.04469971663371199,0.323294625978936,0.18698954379622523
france,0.3235294117647059,0.01657247667320318,0.31038631060409644,0.15972670564226782
australia,0.25,0.028588930711267977,0.34411037654498416,0.11499436211441236
canada,0.25,0.0268109655179495,0.3427311766389923,0.11961962452083232
romania,0.20588235294117646,0.01754245301488694,0.3455007215007215,0.10393426982632624
switzerland,0.20588235294117646,0.006928038895449907,0.28551395182446937,0.10262507625593924
spain,0.17647058823529413,0.007304054843969085,0.29537626449543547,0.07933029155199778
poland,0.16176470588235295,0.015074419915815812,0.33208321775312066,0.07909640848749876
sweden,0.16176470588235295,0.011357426452367524,0.3359977547010946,0.08713564892246607
ukraine,0.16176470588235295,0.004706812312197183,0.29435947873125157,0.08104365301734272
bulgaria,0.14705882352941177,0.003360069467629334,0.2923467643467643,0.07908404594652305
italy,0.14705882352941177,0.005874050670715676,0.2923467643467643,0.06337952769242708
lithuania,0.1323529411764706,0.002948929184393476,0.2923467643467643,0.0736798911656385
singapore,0.1323529411764706,0.05558964877631751,0.3346826949958065,0.03759509075658778
japan,0.11764705882352941,0.021502511489016878,0.27808594657375146,0.03899857302330155
latvia,0.11764705882352941,0.0073011028801793915,0.3172965809700503,0.05398053699775932
nigeria,0.11764705882352941,0.25872738368986636,0.34000568020448735,0.01690935050551338
thailand,0.11764705882352941,0.027419484113376094,0.3037706165947729,0.024158500172278954
denmark,0.10294117647058823,0.0029947428861119164,0.29846920967339813,0.04874797879394287
finland,0.10294117647058823,0.00661534297297085,0.33079856313898864,0.05952702214551381
belgium,0.08823529411764706,0.002151152231537534,0.2913506935994159,0.053360429995529035
moldova,0.08823529411764706,0.00186745555312161,0.28647044747547257,0.04112268548946443
austria,0.07352941176470588,0.001204199009971783,0.2884027945073476,0.04343880051029622
portugal,0.07352941176470588,0.0003603447764237884,0.2526186959274108,0.038827100539991694
colombia,0.058823529411764705,0.07802691532134286,0.32825884288456264,0.024132123851595005
czech-republic,0.058823529411764705,0.0003683084768188229,0.26110359869138494,0.02914577890947763
georgia,0.058823529411764705,0.0003086643517306889,0.2526186959274108,0.024804526372066402
hungary,0.058823529411764705,0.0011324706356011791,0.27990647650222117,0.03044380822533301
malaysia,0.058823529411764705,0.003121323669878777,0.24327575695996748,0.0021574989856863545
norway,0.058823529411764705,0.0010491712364855137,0.28268240850059034,0.030080350693775938
south-korea,0.058823529411764705,0.004902524367370836,0.26597644967784934,0.010628584583595543
armenia,0.04411764705882353,0.0002804481044783457,0.2771845334568187,0.030311564098064923
brazil,0.04411764705882353,0.04032349492653911,0.29537626449543547,0.011066411846333907
estonia,0.04411764705882353,0.026624991222271886,0.2603087627745162,0.016060250534989755
hong-kong,0.04411764705882353,0.0053566240972008645,0.22010663724949436,0.0014225060137069822
india,0.04411764705882353,0.01037341717056773,0.28937877689146724,0.014330048650179486
indonesia,0.04411764705882353,0.001801805278268131,0.24258561296859169,0.0015575047628474854
luxembourg,0.04411764705882353,0.0007789455604129456,0.28082570959418246,0.024900359028623968
philippines,0.04411764705882353,0.001801805278268131,0.24258561296859169,0.0015575047628474854
vietnam,0.04411764705882353,0.001801805278268131,0.24258561296859169,0.0015575047628474854
benin,0.029411764705882353,0.0005185848634124496,0.21621094455481307,0.00023081717927545784
bosnia-and-herzegovina,0.029411764705882353,0.00042641100380040765,0.2933496691987258,0.014259439749506735
brunei,0.029411764705882353,0.0013242265726474637,0.24189937361083047,0.0011952186511192953
