slug,degree,betweenness,closeness,eigenvector
online-fraud-ic,0.3055555555555555,0.06470588235294117,1.1529411764705881,0.7071065948174964
ransomware-ic,0.15277777777777776,0.015406162464985993,1.1529411764705881,4.4616507705930175e-05
malware-ic,0.1111111111111111,0.00784313725490196,1.1529411764705881,6.68587903321624e-07
bec-ic,0.09722222222222221,0.0058823529411764705,1.1529411764705881,1.2077901316311061e-07
hacking-ic,0.08333333333333333,0.004201680672268907,1.1529411764705881,1.7412658410612822e-08
money-laundering-ic,0.08333333333333333,0.004201680672268907,1.1529411764705881,1.7412658410612822e-08
csam-ic,0.041666666666666664,0.0008403361344537815,1.1529411764705881,4.972239739324449e-12
carding-fraud-ic,0.027777777777777776,0.00028011204481792715,1.1529411764705881,6.555322178590792e-14
cybercrime-forum-ic,0.027777777777777776,0.00028011204481792715,1.1529411764705881,6.555322178590792e-14
cybercrime-infrastructure-ic,0.013888888888888888,0.0,1.1529411764705881,9.025991132421807e-17
ddos-extortion,0.013888888888888888,0.0,1.1529411764705881,9.025991132421807e-17
ddos-ic,0.013888888888888888,0.0,1.1529411764705881,9.025991132421807e-17
organized-crime-ic,0.013888888888888888,0.0,1.1529411764705881,9.025991132421807e-17
voice-phishing-ic,0.013888888888888888,0.0,1.1529411764705881,9.025991132421807e-17
