op_slug,agency_slug
2bagoldmule-qqaazz,europol-ec3
2bagoldmule-qqaazz,fbi-cyber-division
2bagoldmule-qqaazz,portuguese-judicial-police
2bagoldmule-qqaazz,spanish-national-police
2bagoldmule-qqaazz,uk-nca
2bagoldmule-qqaazz,us-doj
africa-cyber-surge-ii,afripol
africa-cyber-surge-ii,interpol
alphabay-takedown,eurojust
alphabay-takedown,europol-ec3
alphabay-takedown,fbi-cyber-division
alphabay-takedown,netherlands-politie
andromeda-botnet-takedown,eurojust
andromeda-botnet-takedown,europol-ec3
andromeda-botnet-takedown,fbi-cyber-division
andromeda-botnet-takedown,german-bka
andromeda-botnet-takedown,j-cat
andromeda-botnet-takedown,microsoft
belgium-netherlands-phishing-gang,eurojust
belgium-netherlands-phishing-gang,europol-ec3
belgium-netherlands-phishing-gang,netherlands-politie
bidencash-takedown,europol-ec3
bidencash-takedown,fbi-cyber-division
bidencash-takedown,netherlands-politie
bidencash-takedown,us-doj
bidencash-takedown,us-secret-service
blackcat-lockeroga-kelvin-security-2023,eurojust
blackcat-lockeroga-kelvin-security-2023,europol-ec3
blackcat-lockeroga-kelvin-security-2023,fbi-cyber-division
carbanak-cobalt-takedown,europol-ec3
carbanak-cobalt-takedown,fbi-cyber-division
carbanak-cobalt-takedown,kaspersky-lab
carbanak-cobalt-takedown,romanian-police
carbanak-cobalt-takedown,spanish-national-police
carding-action-2020,europol-ec3
carding-action-2020,group-ib
cryptex-pm2btc-sanctions,netherlands-politie
cryptex-pm2btc-sanctions,us-doj
cryptex-pm2btc-sanctions,us-treasury
cyber-fraud-international-2015,eurojust
cyber-fraud-international-2015,europol-ec3
cyber-fraud-international-2015,polizia-di-stato
cyber-fraud-international-2015,spanish-national-police
cyberbunker-takedown,europol-ec3
cyberbunker-takedown,germany-bka
cyberbunker-takedown,germany-lka
darkmarket-takedown,australia-afp
darkmarket-takedown,denmark-police
darkmarket-takedown,europol-ec3
darkmarket-takedown,fbi-cyber-division
darkmarket-takedown,germany-bka
darkmarket-takedown,uk-nca
darkmarket-takedown,ukraine-police
de-ch-crypto-mixer-takedown-2025,eurojust
de-ch-crypto-mixer-takedown-2025,europol-ec3
doublevpn-takedown,canada-rcmp
doublevpn-takedown,eurojust
doublevpn-takedown,europol-ec3
doublevpn-takedown,fbi-cyber-division
doublevpn-takedown,germany-bka
doublevpn-takedown,netherlands-politie
doublevpn-takedown,uk-nca
doublevpn-takedown,us-doj
doublevpn-takedown,us-secret-service
dridex-operations,europol-ec3
dridex-operations,fbi-cyber-division
dridex-operations,germany-bka
dridex-operations,uk-nca
dridex-operations,us-doj
dridex-operations,us-treasury
emotet-takedown,eurojust
emotet-takedown,europol-ec3
emotet-takedown,fbi-cyber-division
emotet-takedown,netherlands-politie
fin7-takedown,fbi-cyber-division
fin7-takedown,us-doj
franco-israeli-ceo-fraud,croatia-hrvatska-policija
franco-israeli-ceo-fraud,europol-ec3
franco-israeli-ceo-fraud,france-gendarmerie
franco-israeli-ceo-fraud,france-police-nationale
franco-israeli-ceo-fraud,france-police-nationale-gendarmerie-nationale
franco-israeli-ceo-fraud,hungary-budapesti-rendor-fokapitanysag
franco-israeli-ceo-fraud,israel-police
franco-israeli-ceo-fraud,portugal-policia-judiciaria
franco-israeli-ceo-fraud,spain-policia-nacional
imminent-monitor-rat-takedown,australia-afp
imminent-monitor-rat-takedown,eurojust
imminent-monitor-rat-takedown,europol-ec3
korea-china-voice-phishing-qingdao,chinese-police-qingdao
korea-china-voice-phishing-qingdao,seoul-metropolitan-police
lumma-stealer-takedown,europol-ec3
lumma-stealer-takedown,fbi-cyber-division
lumma-stealer-takedown,japan-npa
lumma-stealer-takedown,us-doj
nemesis-market-takedown,dea
nemesis-market-takedown,fbi-cyber-division
nemesis-market-takedown,germany-bka
nemesis-market-takedown,germany-frankfurt-prosecutor
nemesis-market-takedown,irs-ci
operation-105-arrested-for-stealing-over-eur-12-million-from-us-based-banks,europol-ec3
operation-105-arrested-for-stealing-over-eur-12-million-from-us-based-banks,us-secret-service
operation-australian-man-arrested-in-germany-accused-of-running-world-s-largest-darknet-marketplace,europol-ec3
operation-australian-man-arrested-in-germany-accused-of-running-world-s-largest-darknet-marketplace,germany-bka
operation-avalanche,eurojust
operation-avalanche,europol-ec3
operation-avalanche,fbi-cyber-division
operation-avalanche,german-prosecution
operation-avalanche,icann
operation-avalanche,interpol
operation-avalanche,shadowserver
operation-avalanche,us-doj
operation-bakovia,eurojust
operation-bakovia,europol-ec3
operation-bakovia,fbi-cyber-division
operation-bakovia,netherlands-politie
operation-bakovia,romania-diicot
operation-bakovia,uk-nca
operation-chakra-iii,cbi-india
operation-chakra-iii,fbi-cyber-division
operation-chakra-iii,interpol
operation-chakra-iii,us-dhs
operation-contender-2,afripol
operation-contender-2,interpol
operation-cronos-phase1,australia-afp
operation-cronos-phase1,canada-rcmp
operation-cronos-phase1,eurojust
operation-cronos-phase1,europol-ec3
operation-cronos-phase1,fbi-cyber-division
operation-cronos-phase1,france-gendarmerie
operation-cronos-phase1,germany-bka
operation-cronos-phase1,japan-npa
operation-cronos-phase1,netherlands-politie
operation-cronos-phase1,sweden-police
operation-cronos-phase1,switzerland-fedpol
operation-cronos-phase1,uk-nca
operation-cronos-phase3,australia-afp
operation-cronos-phase3,canada-rcmp
operation-cronos-phase3,eurojust
operation-cronos-phase3,europol-ec3
operation-cronos-phase3,fbi-cyber-division
operation-cronos-phase3,france-gendarmerie
operation-cronos-phase3,germany-bka
operation-cronos-phase3,germany-lka
operation-cronos-phase3,japan-npa
operation-cronos-phase3,netherlands-politie
operation-cronos-phase3,spain-guardia-civil
operation-cronos-phase3,sweden-police
operation-cronos-phase3,switzerland-fedpol
operation-cronos-phase3,uk-nca
operation-cyber-guardian,japan-npa
operation-cyber-guardian,knpa-cyber-bureau
operation-cyber-guardian,singapore-police
operation-dark-huntor,eurojust
operation-dark-huntor,europol-ec3
operation-dark-huntor,fbi-cyber-division
operation-dark-huntor,germany-bka
operation-dark-huntor,netherlands-politie
operation-dark-huntor,uk-nca
operation-dark-huntor,us-doj
operation-destabilise,fbi-cyber-division
operation-destabilise,uk-nca
operation-endgame,armenia-police
operation-endgame,australia-afp
operation-endgame,belgium-federal-police
operation-endgame,bulgaria-police
