op_slug,country_slug
2bagoldmule-qqaazz,australia
2bagoldmule-qqaazz,austria
2bagoldmule-qqaazz,belgium
2bagoldmule-qqaazz,bulgaria
2bagoldmule-qqaazz,czech-republic
2bagoldmule-qqaazz,georgia
2bagoldmule-qqaazz,germany
2bagoldmule-qqaazz,italy
2bagoldmule-qqaazz,latvia
2bagoldmule-qqaazz,poland
2bagoldmule-qqaazz,portugal
2bagoldmule-qqaazz,spain
2bagoldmule-qqaazz,sweden
2bagoldmule-qqaazz,switzerland
2bagoldmule-qqaazz,united-kingdom
2bagoldmule-qqaazz,united-states
africa-cyber-surge-ii,cameroon
africa-cyber-surge-ii,gambia
africa-cyber-surge-ii,kenya
africa-cyber-surge-ii,mauritius
africa-cyber-surge-ii,nigeria
africa-cyber-surge-ii,south-africa
africa-cyber-surge-ii,tanzania
alphabay-takedown,canada
alphabay-takedown,france
alphabay-takedown,germany
alphabay-takedown,lithuania
alphabay-takedown,netherlands
alphabay-takedown,thailand
alphabay-takedown,united-kingdom
alphabay-takedown,united-states
andromeda-botnet-takedown,australia
andromeda-botnet-takedown,austria
andromeda-botnet-takedown,belarus
andromeda-botnet-takedown,belgium
andromeda-botnet-takedown,canada
andromeda-botnet-takedown,finland
andromeda-botnet-takedown,france
andromeda-botnet-takedown,germany
andromeda-botnet-takedown,italy
andromeda-botnet-takedown,montenegro
andromeda-botnet-takedown,netherlands
andromeda-botnet-takedown,poland
andromeda-botnet-takedown,singapore
andromeda-botnet-takedown,spain
andromeda-botnet-takedown,taiwan
andromeda-botnet-takedown,united-kingdom
andromeda-botnet-takedown,united-states
belgium-netherlands-phishing-gang,belgium
belgium-netherlands-phishing-gang,netherlands
bidencash-takedown,denmark
bidencash-takedown,finland
bidencash-takedown,france
bidencash-takedown,germany
bidencash-takedown,netherlands
bidencash-takedown,united-states
blackcat-lockeroga-kelvin-security-2023,norway
blackcat-lockeroga-kelvin-security-2023,spain
blackcat-lockeroga-kelvin-security-2023,ukraine
blackcat-lockeroga-kelvin-security-2023,united-states
carbanak-cobalt-takedown,belarus
