slug,partition_value,coordinator,gatekeeper,representative,consultant,liaison,total
europol-ec3,regional-org,0,19,19,412,2178,2628
fbi-cyber-division,national-agency,202,492,492,230,776,2192
eurojust,regional-org,0,0,0,178,710,888
us-doj,national-agency,68,155,155,26,188,592
france-gendarmerie,national-unit,68,150,150,12,178,558
netherlands-politie,national-unit,120,108,108,42,42,420
interpol,international-org,2,36,36,42,254,370
uk-nca,national-agency,32,94,94,96,50,366
us-secret-service,national-unit,26,78,78,36,50,268
canada-rcmp,national-unit,120,54,54,12,10,250
germany-bka,national-agency,8,47,47,44,84,230
australia-afp,national-agency,12,36,36,68,14,166
germany-lka,national-agency,0,25,25,92,16,158
j-cat,unknown,0,20,20,8,40,88
germany-frankfurt-prosecutor,prosecution-office,0,2,2,0,84,88
switzerland-fedpol,national-agency,0,15,15,44,8,82
ukraine-police,national-unit,40,12,12,0,0,64
france-national-police,national-unit,40,12,12,0,0,64
japan-npa,national-agency,0,16,16,20,8,60
kaspersky-lab,private-sector,4,11,11,4,24,54
spanish-national-police,national-agency,6,12,12,0,8,38
us-dhs,national-agency,4,9,9,0,16,38
shadowserver,private-sector,0,9,9,0,14,32
sweden-police,national-unit,2,7,7,10,2,28
microsoft,private-sector,0,2,2,4,18,26
dutch-nhtcu,national-unit,0,0,0,8,14,22
trend-micro,unknown,4,8,8,0,0,20
us-treasury,national-agency,4,3,3,0,4,14
london-metropolitan-police,national-agency,0,2,2,0,8,12
knpa-cyber-bureau,national-unit,0,1,1,0,2,4
dea,unknown,0,0,0,0,0,0
denmark-police,national-unit,0,0,0,0,0,0
croatia-hrvatska-policija,unknown,0,0,0,0,0,0
czechia-police,national-unit,0,0,0,0,0,0
chinese-police-qingdao,unknown,0,0,0,0,0,0
cbi-india,national-agency,0,0,0,0,0,0
belgium-federal-police,national-unit,0,0,0,0,0,0
bulgaria-police,national-unit,0,0,0,0,0,0
afripol,regional-org,0,0,0,0,0,0
armenia-police,national-unit,0,0,0,0,0,0
group-ib,private-sector-partner,0,0,0,0,0,0
hungary-budapesti-rendor-fokapitanysag,unknown,0,0,0,0,0,0
ic3,national-unit,0,0,0,0,0,0
france-police-nationale-gendarmerie-nationale,unknown,0,0,0,0,0,0
french-high-tech-crime-unit,unknown,0,0,0,0,0,0
france-junalco,prosecution-office,0,0,0,0,0,0
lithuania-police,national-unit,0,0,0,0,0,0
latvia-state-police,national-unit,0,0,0,0,0,0
knpa,national-agency,0,0,0,0,0,0
interpol-asean-desk,unknown,0,0,0,0,0,0
ireland-garda,national-unit,0,0,0,0,0,0
irs-ci,unknown,0,0,0,0,0,0
israel-police,unknown,0,0,0,0,0,0
italy-dcsa,national-agency,0,0,0,0,0,0
icann,international-org,0,0,0,0,0,0
intel-security,private-sector,0,0,0,0,0,0
france-police-nationale,unknown,0,0,0,0,0,0
german-prosecution,prosecutorial-authority,0,0,0,0,0,0
german-bka,national-agency,0,0,0,0,0,0
portugal-police,national-unit,0,0,0,0,0,0
polizia-di-stato,unknown,0,0,0,0,0,0
nigerian-efcc,unknown,0,0,0,0,0,0
spain-guardia-civil,national-unit,0,0,0,0,0,0
singapore-police,national-unit,0,0,0,0,0,0
seoul-metropolitan-police,national-unit,0,0,0,0,0,0
russian-ministry-of-interior,unknown,0,0,0,0,0,0
romania-police,national-unit,0,0,0,0,0,0
romanian-police,national-agency,0,0,0,0,0,0
romania-diicot,prosecution-office,0,0,0,0,0,0
portuguese-judicial-police,national-agency,0,0,0,0,0,0
pakistan-fia,national-agency,0,0,0,0,0,0
portugal-policia-judiciaria,unknown,0,0,0,0,0,0
spain-policia-nacional,unknown,0,0,0,0,0,0
spain-national-police,national-unit,0,0,0,0,0,0
thai-royal-police,unknown,0,0,0,0,0,0
unodc,international-org,0,0,0,0,0,0
us-dcis,national-unit,0,0,0,0,0,0
us-postal-inspection,unknown,0,0,0,0,0,0
