kind,slug,role,core_periphery,partition_value,degree,betweenness,total_brokerage
agency,afripol,participant,periphery,regional-org,0.0547945205479452,0.0002684563758389,0
agency,armenia-police,participant,periphery,national-unit,0.0273972602739726,3.5359879677756065e-05,0
agency,australia-afp,participant,core,national-agency,0.1095890410958904,0.0035034875921558,166
agency,belgium-federal-police,participant,core,national-unit,0.0136986301369863,0.0,0
agency,bulgaria-police,participant,core,national-unit,0.0273972602739726,3.5359879677756065e-05,0
agency,canada-rcmp,internal-coordinator,core,national-unit,0.1095890410958904,0.0034219719785334,250
agency,cbi-india,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,chinese-police-qingdao,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,croatia-hrvatska-policija,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,czechia-police,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,dea,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,denmark-police,participant,core,national-unit,0.0547945205479452,0.0003654076196493,0
agency,dutch-nhtcu,participant,periphery,national-unit,0.0273972602739726,0.0008174933568291,22
agency,eurojust,liaison-broker,core,regional-org,0.3835616438356164,0.0715764695724656,888
agency,europol-ec3,liaison-broker,core,regional-org,0.6712328767123288,0.3689408292268611,2628
agency,fbi-cyber-division,hub,core,national-agency,0.5616438356164384,0.2924969991455478,2192
agency,france-gendarmerie,regional-coordinator,core,national-unit,0.0821917808219178,0.0126157591829867,558
agency,france-junalco,participant,core,prosecution-office,0.0273972602739726,4.072080683865016e-05,0
agency,france-national-police,participant,core,national-unit,0.0547945205479452,0.0006509400339331,64
agency,france-police-nationale,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,france-police-nationale-gendarmerie-nationale,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,french-high-tech-crime-unit,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,german-bka,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,german-prosecution,participant,periphery,prosecutorial-authority,0.0136986301369863,0.0,0
agency,germany-bka,participant,core,national-agency,0.2191780821917808,0.018760986024794,230
agency,germany-frankfurt-prosecutor,participant,core,prosecution-office,0.0410958904109589,0.0016645833038508,88
agency,germany-lka,participant,core,national-agency,0.0547945205479452,0.0012771006238811,158
agency,group-ib,participant,periphery,private-sector-partner,0.0136986301369863,0.0,0
agency,hungary-budapesti-rendor-fokapitanysag,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,ic3,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,icann,participant,periphery,international-org,0.0136986301369863,0.0,0
agency,intel-security,participant,periphery,private-sector,0.0136986301369863,0.0,0
agency,interpol,liaison-broker,core,international-org,0.1917808219178082,0.1904569352743165,370
agency,interpol-asean-desk,participant,periphery,unknown,0.0273972602739726,0.0001193139448173,0
agency,ireland-garda,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,irs-ci,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,israel-police,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,italy-dcsa,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,j-cat,participant,core,unknown,0.0547945205479452,0.0039816377793031,88
agency,japan-npa,participant,core,national-agency,0.0821917808219178,0.0292017662573124,60
agency,kaspersky-lab,participant,periphery,private-sector,0.0410958904109589,0.0022499607392197,54
agency,knpa,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,knpa-cyber-bureau,participant,periphery,national-unit,0.0410958904109589,0.0038444209722315,4
agency,latvia-state-police,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,lithuania-police,participant,core,national-unit,0.0273972602739726,3.5359879677756065e-05,0
agency,london-metropolitan-police,participant,periphery,national-agency,0.0273972602739726,0.0013973781246452,12
agency,microsoft,participant,core,private-sector,0.0273972602739726,0.0009966698632352,26
agency,netherlands-politie,regional-coordinator,core,national-unit,0.2602739726027397,0.0263004002361076,420
agency,nigerian-efcc,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,pakistan-fia,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,polizia-di-stato,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,portugal-police,participant,core,national-unit,0.0273972602739726,3.5359879677756065e-05,0
agency,portugal-policia-judiciaria,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,portuguese-judicial-police,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,romania-diicot,participant,periphery,prosecution-office,0.0136986301369863,0.0,0
agency,romania-police,participant,core,national-unit,0.0273972602739726,3.5359879677756065e-05,0
agency,romanian-police,participant,periphery,national-agency,0.0136986301369863,0.0,0
agency,russian-ministry-of-interior,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,seoul-metropolitan-police,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,shadowserver,participant,core,private-sector,0.0273972602739726,0.000605467886425,32
agency,singapore-police,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,spain-guardia-civil,participant,core,national-unit,0.0410958904109589,0.0002984785375472,0
agency,spain-national-police,participant,periphery,national-unit,0.0136986301369863,0.0,0
agency,spain-policia-nacional,participant,core,unknown,0.0136986301369863,0.0,0
agency,spanish-national-police,participant,periphery,national-agency,0.0547945205479452,0.0011084937033877,38
agency,sweden-police,participant,core,national-unit,0.0547945205479452,0.0004529853532058,28
agency,switzerland-fedpol,participant,core,national-agency,0.0547945205479452,0.000673500269712,82
agency,thai-royal-police,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,trend-micro,participant,periphery,unknown,0.0273972602739726,0.0029839165257348,20
agency,uk-nca,regional-coordinator,core,national-agency,0.2465753424657534,0.0188454973331813,366
agency,ukraine-police,participant,core,national-unit,0.0547945205479452,0.0007029164024663,64
agency,unodc,participant,periphery,international-org,0.0136986301369863,0.0,0
agency,us-dcis,participant,core,national-unit,0.0273972602739726,4.072080683865016e-05,0
agency,us-dhs,participant,periphery,national-agency,0.0547945205479452,0.0025613597081706,38
agency,us-doj,regional-coordinator,core,national-agency,0.273972602739726,0.0460524250894281,592
agency,us-postal-inspection,participant,periphery,unknown,0.0136986301369863,0.0,0
agency,us-secret-service,participant,core,national-unit,0.1232876712328767,0.0111375236538578,268
agency,us-treasury,participant,periphery,national-agency,0.0410958904109589,0.0005735382582691,14
country,albania,participant,core,balkans,0.0410958904109589,0.002998657583995,232
country,argentina,specialist-broker,core,south-america,0.0273972602739726,0.0282173094660549,574
country,armenia,participant,core,eastern-europe,0.0547945205479452,0.0018046841354383,638
country,australia,participant,core,oceania,0.2602739726027397,0.031568373870332,1884
country,austria,participant,core,western-europe,0.1232876712328767,0.0128231712852194,1184
country,azerbaijan,participant,core,caucasus,0.0136986301369863,0.0,0
country,belarus,participant,core,eastern-europe,0.0273972602739726,7.49475796479074e-05,0
